           k      D^2_lin
2.844000E-04 1.312000E-09
2.872590E-04 1.364954E-09
2.901460E-04 1.420031E-09
2.930620E-04 1.477330E-09
2.960070E-04 1.536935E-09
2.989820E-04 1.598953E-09
3.019870E-04 1.663476E-09
3.050220E-04 1.730599E-09
3.080870E-04 1.800417E-09
3.111840E-04 1.873062E-09
3.143110E-04 1.948630E-09
3.174700E-04 2.027241E-09
3.206600E-04 2.109025E-09
3.238830E-04 2.194111E-09
3.271380E-04 2.282619E-09
3.304260E-04 2.374706E-09
3.337470E-04 2.470506E-09
3.371010E-04 2.570159E-09
3.404890E-04 2.673841E-09
3.439110E-04 2.781704E-09
3.473670E-04 2.893906E-09
3.508580E-04 3.010610E-09
3.543850E-04 3.132086E-09
3.579460E-04 3.258377E-09
3.615440E-04 3.389805E-09
3.651770E-04 3.526490E-09
3.688470E-04 3.668706E-09
3.725540E-04 3.816662E-09
3.762980E-04 3.970574E-09
3.800800E-04 4.130709E-09
3.839000E-04 4.297256E-09
3.877590E-04 4.470593E-09
3.916560E-04 4.650836E-09
3.955920E-04 4.838338E-09
3.995680E-04 5.033421E-09
4.035830E-04 5.236321E-09
4.076390E-04 5.447434E-09
4.117360E-04 5.667072E-09
4.158740E-04 5.895493E-09
4.200540E-04 6.133210E-09
4.242750E-04 6.380384E-09
4.285390E-04 6.637555E-09
4.328460E-04 6.905102E-09
4.371970E-04 7.183478E-09
4.415900E-04 7.472962E-09
4.460280E-04 7.774088E-09
4.505110E-04 8.087377E-09
4.550390E-04 8.413375E-09
4.596120E-04 8.752383E-09
4.642310E-04 9.105055E-09
4.688970E-04 9.471884E-09
4.736090E-04 9.853521E-09
4.783690E-04 1.025048E-08
4.831770E-04 1.066356E-08
4.880330E-04 1.109314E-08
4.929380E-04 1.154005E-08
4.978920E-04 1.200480E-08
5.028960E-04 1.248842E-08
5.079500E-04 1.299136E-08
5.130550E-04 1.351458E-08
5.182110E-04 1.405883E-08
5.234190E-04 1.462502E-08
5.286800E-04 1.521409E-08
5.339930E-04 1.582662E-08
5.393600E-04 1.646388E-08
5.447800E-04 1.712668E-08
5.502560E-04 1.781636E-08
5.557860E-04 1.853368E-08
5.613710E-04 1.927960E-08
5.670130E-04 2.005565E-08
5.727120E-04 2.086299E-08
5.784680E-04 2.170279E-08
5.842810E-04 2.257603E-08
5.901540E-04 2.348464E-08
5.960850E-04 2.442966E-08
6.020760E-04 2.541278E-08
6.081260E-04 2.643496E-08
6.142380E-04 2.749877E-08
6.204110E-04 2.860501E-08
6.266470E-04 2.975562E-08
6.329440E-04 3.095250E-08
6.393060E-04 3.219754E-08
6.457310E-04 3.349246E-08
6.522210E-04 3.483955E-08
6.587750E-04 3.624017E-08
6.653960E-04 3.769736E-08
6.720840E-04 3.921324E-08
6.788380E-04 4.078978E-08
6.856600E-04 4.242929E-08
6.925520E-04 4.413507E-08
6.995120E-04 4.590908E-08
7.065420E-04 4.775392E-08
7.136430E-04 4.967351E-08
7.208150E-04 5.166906E-08
7.280600E-04 5.374562E-08
7.353770E-04 5.590479E-08
7.427670E-04 5.815054E-08
7.502320E-04 6.048674E-08
7.577720E-04 6.291612E-08
7.653880E-04 6.544315E-08
7.730800E-04 6.807076E-08
7.808500E-04 7.080487E-08
7.886980E-04 7.364721E-08
7.966240E-04 7.660412E-08
8.046300E-04 7.967904E-08
8.127170E-04 8.287760E-08
8.208850E-04 8.620353E-08
8.291350E-04 8.966385E-08
8.374680E-04 9.326112E-08
8.458840E-04 9.700340E-08
8.543860E-04 1.008954E-07
8.629720E-04 1.049418E-07
8.716460E-04 1.091513E-07
8.804060E-04 1.135291E-07
8.892540E-04 1.180824E-07
8.981910E-04 1.228171E-07
9.072180E-04 1.277403E-07
9.163350E-04 1.328605E-07
9.255450E-04 1.381867E-07
9.348470E-04 1.437246E-07
9.442420E-04 1.494841E-07
9.537320E-04 1.554748E-07
9.633170E-04 1.617035E-07
9.729990E-04 1.681805E-07
9.827770E-04 1.749179E-07
9.926550E-04 1.819225E-07
1.002630E-03 1.892059E-07
1.012710E-03 1.967845E-07
1.022890E-03 2.046635E-07
1.033170E-03 2.128560E-07
1.043550E-03 2.213714E-07
1.054040E-03 2.302323E-07
1.064630E-03 2.394404E-07
1.075330E-03 2.490202E-07
1.086140E-03 2.589827E-07
1.097050E-03 2.693354E-07
1.108080E-03 2.801093E-07
1.119220E-03 2.913133E-07
1.130460E-03 3.029495E-07
1.141820E-03 3.150582E-07
1.153300E-03 3.276539E-07
1.164890E-03 3.407432E-07
1.176600E-03 3.543597E-07
1.188420E-03 3.685068E-07
1.200370E-03 3.832329E-07
1.212430E-03 3.985300E-07
1.224620E-03 4.144495E-07
1.236920E-03 4.309830E-07
